,p-value
TATA_TAF1_GM12891_encode-Myers_seq_hsa_Weeder_2,0.0
TATA_TAF1_GM12891_encode-Myers_seq_hsa_MEME_3,0.0
TATA_TAF1_GM12891_encode-Myers_seq_hsa_MEME_2,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_AlignACE_3,0.0
TATA_GTF2F1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-RAP-74_AlignACE_1,0.0
TATA_GTF2F1_K562_encode-Snyder_seq_hsa_IgG-rab-RAP-74_AlignACE_3,0.0
TATA_TAF1_GM12878_encode-Myers_seq_hsa_AlignACE_3,0.0
TATA_GTF2B_K562_encode-Snyder_seq_hsa_AlignACE_3,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_AlignACE_1,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_AlignACE_2,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_AlignACE_1,0.0
TATA_GTF2B_K562_encode-Snyder_seq_hsa_MEME_2,0.0
TATA_GTF2B_K562_encode-Snyder_seq_hsa_MEME_1,0.0
TATA_TAF1_GM12878_encode-Myers_seq_hsa_AlignACE_1,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_AlignACE_3,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_Weeder_2,0.0
TATA_TAF1_GM12878_encode-Myers_seq_hsa_AlignACE_2,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_Weeder_3,0.0
TATA_GTF2B_K562_encode-Snyder_seq_hsa_AlignACE_2,0.0
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_MDscan_1,6.586387132020388e-305
TATA_TAF7_K562_encode-Myers_seq_hsa_v041610.1-SQ-8_MEME_1,2.8205173747562715e-294
TATA_GTF2F1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-RAP-74_MEME_1,6.083891902967553e-280
TATA_TAF7_K562_encode-Myers_seq_hsa_v041610.1-SQ-8_MEME_2,1.2937355828503697e-277
TATA_TAF1_HeLa-S3_encode-Myers_seq_hsa_MDscan_1,7.301370705226383e-277
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_MDscan_3,2.3432361077157527e-267
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_1,6.4048422217900165e-264
TATA_TAF1_HeLa-S3_encode-Myers_seq_hsa_MDscan_3,2.6128550829130065e-262
TATA_GTF2F1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-RAP-74_MEME_2,4.188157516575356e-256
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_MEME_1,3.1618359781319716e-250
TATA_TAF1_GM12878_encode-Myers_seq_hsa_Trawler_3,7.5473899290887e-249
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_2,4.067689841589775e-246
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_Trawler_1,1.8634498828340703e-241
TATA_TAF1_K562_encode-Myers_seq_hsa_Trawler_2,4.72015661385326e-229
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_MDscan_2,3.1737787304009554e-219
TATA_TAF7_K562_encode-Myers_seq_hsa_v041610.1-SQ-8_Trawler_3,2.9168645570891913e-213
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_MDscan_1,1.056456198603623e-205
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_MDscan_3,3.838844660469143e-203
TATA_TAF7_K562_encode-Myers_seq_hsa_v041610.1-SQ-8_MDscan_3,1.3525284811850188e-190
TATA_GTF2F1_K562_encode-Snyder_seq_hsa_IgG-rab-RAP-74_Trawler_2,1.60270000403967e-187
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_Trawler_2,2.7971855451748924e-187
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_MDscan_3,6.257394984111774e-182
TATA_TAF1_GM12892_encode-Myers_seq_hsa_MEME_2,7.735794819086448e-182
TATA_GTF2B_K562_encode-Snyder_seq_hsa_Trawler_3,9.484050406268096e-175
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_Trawler_1,3.418874478562585e-173
TATA_TAF1_HepG2_encode-Myers_seq_hsa_PCR2x_Trawler_2,1.1215202045750205e-171
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_MDscan_1,7.89322536207004e-171
TATA_TAF1_GM12892_encode-Myers_seq_hsa_MDscan_2,9.95776971178867e-168
TATA_TAF1_GM12878_encode-Myers_seq_hsa_Trawler_1,1.0217925934645792e-167
TATA_TAF1_K562_encode-Myers_seq_hsa_v041610.1_Trawler_2,1.0217925934645792e-167
TATA_TBP_GM12878_encode-Snyder_seq_hsa_IgG-mus_Trawler_1,1.0217925934645792e-167
TATA_TAF1_GM12891_encode-Myers_seq_hsa_Trawler_3,7.896719941952326e-167
TATA_TAF1_K562_encode-Myers_seq_hsa_Trawler_1,1.2105347524489035e-166
TATA_TAF1_GM12891_encode-Myers_seq_hsa_Trawler_2,1.5002544521596145e-165
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_Trawler_3,7.621008574064063e-162
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_MDscan_3,2.4461426014783626e-155
TATA_TAF7_K562_encode-Myers_seq_hsa_v041610.1-SQ-8_Trawler_1,4.2388989303852706e-153
TATA_TAF1_GM12892_encode-Myers_seq_hsa_Trawler_3,7.82692548610258e-147
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_Trawler_2,1.3083906913342576e-146
TATA_TAF1_GM12878_encode-Myers_seq_hsa_Trawler_2,1.341710876159535e-144
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_Trawler_2,3.527481094431643e-143
TATA_GTF2F1_K562_encode-Snyder_seq_hsa_IgG-rab-RAP-74_MEME_1,9.581561172816905e-143
TATA_GTF2B_K562_encode-Snyder_seq_hsa_MDscan_3,3.710790031013981e-141
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,1.1743657760565626e-140
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_MEME_2,8.337327070100022e-139
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_Trawler_3,4.2428372709542375e-134
TATA_TBP_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,1.073152839914553e-133
TATA_TAF1_HepG2_encode-Myers_seq_hsa_PCR2x_MEME_2,2.0615566443000502e-132
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_MDscan_2,6.1724821366711e-128
TATA_TAF1_K562_encode-Myers_seq_hsa_MEME_2,1.0586118974791589e-126
TATA_TAF1_K562_encode-Myers_seq_hsa_Trawler_3,7.182126398257444e-126
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_Trawler_3,6.739732002756159e-125
TATA_TBP_GM12878_encode-Snyder_seq_hsa_IgG-mus_MDscan_3,2.5479560238922834e-115
TATA_TAF1_HeLa-S3_encode-Myers_seq_hsa_Trawler_3,1.134421637176786e-111
TATA_TAF1_HeLa-S3_encode-Myers_seq_hsa_Trawler_2,9.718279759007967e-109
TATA_TBP_GM12878_encode-Snyder_seq_hsa_IgG-mus_MDscan_1,2.948584264122817e-108
TATA_TBP_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,2.1406071729897907e-105
TATA_GTF2B_K562_encode-Snyder_seq_hsa_MDscan_1,1.8990436598038635e-103
TATA_TBP_GM12878_encode-Snyder_seq_hsa_IgG-mus_MDscan_2,1.3933520730224777e-102
TATA_TBP_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,9.134050855106713e-102
TATA_GTF2B_K562_encode-Snyder_seq_hsa_Trawler_2,6.2516551851323865e-99
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_MEME_3,1.136110748745342e-95
TATA_GTF2B_K562_encode-Snyder_seq_hsa_MDscan_2,1.0662355623541937e-93
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_Trawler_2,1.1235933568720065e-93
TATA_GTF2F1_K562_encode-Snyder_seq_hsa_IgG-rab-RAP-74_MEME_2,3.8485863895551104e-90
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_Trawler_2,5.723412298882417e-88
TATA_GTF2F1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-RAP-74_Trawler_2,1.5658357511605866e-87
TATA_TBP_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,4.072418092736948e-82
TATA_TAF1_GM12878_encode-Myers_seq_hsa_MEME_2,5.454035410786001e-81
TATA_TAF1_GM12892_encode-Myers_seq_hsa_MDscan_1,3.431231804292521e-80
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_MEME_2,2.5364600973784267e-79
TATA_TAF1_GM12892_encode-Myers_seq_hsa_v041610.2_MDscan_2,3.236927515307109e-77
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,1.774743022040073e-75
TATA_TBP_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,1.7765649056037682e-73
TATA_TAF1_HepG2_encode-Myers_seq_hsa_PCR2x_Trawler_1,1.7765649056037682e-73
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_Trawler_3,2.925150845882304e-69
TATA_TBP_GM12878_encode-Snyder_seq_hsa_IgG-mus_Trawler_3,8.150404231141084e-69
